"Title","Summary","Text","Economy","Climate","Healthcare","Immigration","Education"
"The Green Infrastructure & Jobs Act of 2025","A comprehensive bill to upgrade national infrastructure with a focus on renewable energy, high-speed rail, and green manufacturing jobs.","SECTION 1. SHORT TITLE.
This Act may be cited as the 'Green Infrastructure & Jobs Act of 2025'.

SEC. 2. FINDINGS AND PURPOSE.
(a) Findings.- Congress finds that:
  (1) The nation's infrastructure receives a grade of 'C-' from the American Society of Civil Engineers.
  (2) Extreme weather events caused by climate change are stressing aging utility grids.
(b) Purpose.- The purpose of this Act is to modernize infrastructure, creating 2 million jobs while reducing carbon emissions by 40% by 2030.

SEC. 3. RENEWABLE ENERGY GRID MODERNIZATION.
(a) Grant Program.- The Secretary of Energy shall establish a 'Smart Grid' grant program.
(b) Eligibility.- States, municipalities, and tribal governments are eligible to apply.
(c) Authorization.- There is authorized to be appropriated $50,000,000,000 for fiscal year 2026, to remain available until expended, for grid resilience upgrades including battery storage and transmission line expansion.

SEC. 4. HIGH-SPEED RAIL EXPANSION.
(a) Corridor Designation.- The Secretary of Transportation shall designate 5 new high-speed rail corridors.
(b) Funding.- $100,000,000,000 is appropriated for land acquisition and track construction.
(c) Speed Requirement.- Projects must be capable of sustaining speeds of at least 180 mph.

SEC. 5. GREEN MANUFACTURING TAX CREDITS.
(a) Credit.- A tax credit of 30% is established for retooling manufacturing facilities to produce electric vehicles, wind turbines, or solar panels.
(b) Labor Standards.- To qualify, facilities must pay prevailing wages and allow union organization.

SEC. 6. CLIMATE CONSERVATION CORPS.
Establishes a civilian conservation corps to employ 500,000 young adults in reforestation, wetland restoration, and urban greening projects.","0.6","0.9","0.1","0.0","0.4"
"The Secure Borders & Legal Pathways Act","A bill to increase border security funding while streamlining the visa process for high-skilled workers and agricultural labor.","SECTION 1. SHORT TITLE.
This Act may be cited as the 'Secure Borders & Legal Pathways Act'.

SEC. 2. BORDER SECURITY APPROPRIATIONS.
(a) Physical Barrieer.- $5,000,000,000 is appropriated for the maintenance and improvement of physical barriers in high-traffic sectors.
(b) Technology.- $10,000,000,000 is allocated for the deployment of autonomous surveillance towers, drowns, and subterranean detection sensors.
(c) Personnel.- The Department of Homeland Security shall hire, train, and deploy 5,000 additional Border Patrol agents by 2027.

SEC. 3. VISA MODERNIZATION.
(a) H-1B Reform.- The annual cap on H-1B visas for specialty occupations is increased to 120,000.
(b) Spousal Work Authorization.- Spouses of H-1B holders (H-4) are automatically granted work authorization.
(c) Agricultural Guest Workers.- Establishes a W-2 visa program for year-round agricultural workers, capped at 50,000 annually, with a path to renewable status.

SEC. 4. ASYLUM SYSTEM OVERHAUL.
(a) Adjudication Centers.- Establishes 10 regional processing centers to adjudicate asylum claims within 60 days.
(b) Standard.- Raises the credible fear standard for initial asylum screening.
(c) Judges.- Authorizes the hiring of 300 additional immigration judges to reduce the backlog.","0.4","0.0","0.0","0.8","0.1"
"The Universal Healthcare Modernization Act","Expands Medicare coverage to include dental and vision, allows drug price negotiation, and increases subsidies for private marketplace plans.","SECTION 1. SHORT TITLE.
This Act may be cited as the 'Universal Healthcare Modernization Act'.

SEC. 2. EXPANSION OF MEDICARE BENEFITS.
(a) Dental Coverage.- Title XVIII of the Social Security Act is amended to include coverage for preventive and restorative dental care, including dentures.
(b) Vision and Hearing.- Coverage is extended to include routine eye exams, eyeglasses, and hearing aids.
(c) Implementation.- Benefits under this section shall take effect on January 1, 2026.

SEC. 3. PRESCRIPTION DRUG NEGOTIATION.
(a) Authorization.- The Secretary of Health and Human Services is mandated to negotiate prices for the 100 most costly drugs to the Medicare pogram annually.
(b) Ceiling Price.- The negotiated price shall not exceed 120% of the average international market price.
(c) Penalty.- Manufacturers refusing to negotiate shall be subject to an excise tax of 95% on gross sales.

SEC. 4. PRIVATE MARKETPLACE STABILIZATION.
(a) Reinsurance.- Establishes a federal reinsurance pool to cover high-cost claims, reducing premiums for all enrollees.
(b) Subsidy Cap Removal.- Permanently removes the income cliff for ACA premium tax credits, ensuring no household pays more than 8.5% of income.","-0.2","0.0","0.9","0.1","0.0"
"The American Manufacturing Competitiveness Act","Provides tax incentives for domestic semiconductor production and imposes tariffs on specific imported technologies.","SECTION 1. SHORT TITLE.
This Act may be cited as the 'American Manufacturing Competitiveness Act'.

SEC. 2. DOMESTIC SEMICONDUCTOR INCENTIVES.
(a) FAB Grant Program.- The Secretary of Commerce shall establish a fund of $52,000,000,000 to incentivize the construction of domestic semiconductor fabrication plants.
(b) Investment Tax Credit.- A 25% investment tax credit is created for the purchase of semiconductor manufacturing equipment.

SEC. 3. CRITICAL MINERALS SECURITY.
(a) Stockpile.- Authorizes the Department of Defense to expand the National Defense Stockpile of rare earth elements.
(b) Processing.- Provides loan guarantees for domestic mining and processing of lithium, cobalt, and nickel.

SEC. 4. TRADE ENFORCEMENT.
(a) Tariff Schedule.- Imposes a 15% ad valorem tariff on imported advanced logic chips and large-capacity batteries from non-allied nations.
(b) IP Protection.- Enhances peanlties for trade secret theft related to advanced manufacturing technologies.

SEC. 5. WORKFORCE PARTNERSHIPS.
Allocates $5,000,000,000 for partnerships between manufacturers and community colleges to design apprenticeship curricula.","0.8","0.2","0.0","-0.1","0.3"
"The Future of Education & AI Literacy Act","Mandates coding and AI literacy in K-12 curriculum and provides federal funding for teacher training in emerging technologies.","SECTION 1. SHORT TITLE.
This Act may be cited as the 'Future of Education & AI Literacy Act'.

SEC. 2. NATIONAL CURRICULUM STANDARDS.
(a) Guidelines.- The Department of Education shall convene a task force to create voluntary national standards for Computer Science (CS) and Artificial Intelligence (AI) literacy.
(b) Integration.- Guidelines shall emphasize integrating AI ethics and data privacy into social studies and humanities coursework.

SEC. 3. TEACHER DEVELOPMENT GRANTS.
(a) Funding.- $2,000,000,000 is appropriated for grants to State educational agencies.
(b) Usage.- Funds must be used to train existing K-12 teachers in CS/AI pedagogy or to hire specialized instructors.
(c) Rural Set-Aside.- 20% of funds are reserved for schools in rural classifications.

SEC. 4. 1:1 DEVICE AND BROADBAND INITIATIVE.
(a) Goal.- To ensure every student has a personal learning device and home internet access.
(b) E-Rate Expansion.- Expands the E-Rate program to cover home Wi-Fi hotspots for low-income students.","0.5","0.0","0.0","0.0","0.9"
"The National Data Privacy Rights Act","Establishes a federal framework for consumer data privacy, preempting state laws and creating a Data Protection Agency.","SECTION 1. TITLE.
This Act may be cited as the 'National Data Privacy Rights Act'.

SEC. 2. CONSUMER DATA BILL OF RIGHTS.
(a) Right to Access.- Consumers have the right to confirm if a covered entity is processing their data and to access such data.
(b) Right to Delete.- Consumers may request deletion of personal data.
(c) Right to Opt-Out.- Consumers have the absolute right to opt-out of targeted advertising and the sale of their data.

SEC. 3. DATA MINIMIZATION.
Covered entities shall limits the collection of personal data to what is adequate, relevant, and reasonably necessary for the specified purpose.

SEC. 4. ENFORCEMENT.
(a) New Agency.- Establishes the Bureau of Data Protection within the FTC.
(b) Private Right of Action.- Individuals may bring civil action for damages ranging from $100 to $1,000 per violation if a breach occurs due to negligence.
(c) Preemption.- This Act supersedes any State law regarding data privacy, except for biometric data laws.","0.3","0.0","0.0","0.0","0.2"
"The Flat Tax Simplification Act","Replaces the progressive income tax code with a flat 17% tax rate on all individual and corporate income, eliminating most deductions.","SECTION 1. SHORT TITLE.
This Act may be cited as the 'Flat Tax Simplification Act'.

SEC. 2. TAX RATE REFORM.
(a) Individual Income.- Section 1 of the Internal Revenue Code is amended to impose a single flat rate of 17% on all taxable income.
(b) Corporate Income.- Section 11 of the Internal Revenue Code is amended to impose a flat rate of 17% on corporate profits.
(c) Standard Deduction.- The standard deduction is increased to $35,000 for single filers and $70,000 for joint filers to protect low-income earners.

SEC. 3. ELIMINATION OF LOOPHOLES.
(a) Repeal.- All itemized deductions, exemptions, and credits are repealed, except for:
  (1) The Charitable Contribution Deduction.
  (2) The Mortgage Interest Deduction (capped at $500k principal).
(b) Capital Gains.- Capital gains and dividends shall be taxed as ordinary income at the 17% rate.

SEC. 4. SIMPLIFICATION.
Directs the IRS to develop a 'postcard' sized tax return form available to all filers by tax year 2026.","1.0","-0.3","-0.3","0.0","0.0"
"The Oceans Conservation & Plastic Reduction Act","Bans single-use plastics in federal facilities and provides grants for ocean cleanup and coral reef restoration.","SECTION 1. TITLE.
'Oceans Conservation & Plastic Reduction Act'.

SEC. 2. PLASTIC REDUCTION.
(a) Federal Ban.- Not later than 1 year after enactment, no single-use plastic product (straws, bags, cutlery, styrofoam) shall be procured or sold by any federal agency or on federal property.
(b) EPR Study.- The EPA shall conduct a study on Extended Producer Responsibility (EPR) frameworks to hold manufacturers accountable for waste.

SEC. 3. OCEAN RESTORATION GRANTS.
(a) Cleanup.- $2,000,000,000 is appropriated for NOAA to remove microplastics and ghost gear from the Exclusive Economic Zone.
(b) Coral Reefs.- $500,000,000 is authorized for coral propagation and heat-tolerance research.

SEC. 4. OFFSHORE DRILLING MORATORIUM.
Prohibits the issuance of new leases for oil and gas exploration in the Atlantic and Pacific Outer Continental Shelf regions.","-0.3","0.8","0.1","0.0","0.2"
"The Space Force Expansion & Mars Readiness Act","Increases funding for the US Space Force to accelerate the development of orbital defense systems and preparation for manned Mars missions.","SECTION 1. SHORT TITLE.
'Space Force Expansion & Mars Readiness Act'.

SEC. 2. ORBITAL DEFENSE.
(a) Findings.- Space is now a warfighting domain.
(b) Appropriations.- $30,000,000,000 is appropriated for the development of kinetic and non-kinetic anti-satellite (ASAT) defense systems.
(c) Constellations.- Funds shall be used to complete the low-earth orbit sensor layer for hypersonic missile tracking.

SEC. 3. MARS MISSION ACCELERATION.
(a) Goal.- It is the policy of the United States to land a human crew on Mars no later than 2035.
(b) Nuclear Propulsion.- Directs NASA and the DOE to accelerate the demonstration of nuclear thermal propulsion systems.
(c) Commercial Partnership.- Authorizes fixed-price contracts for heavy-lift launch vehicles and lunar gateway logistics.","0.7","0.1","0.0","0.0","0.3"
"The Urban Housing & Transit Grant Act","Provides block grants to cities for the construction of high-density affordable housing near public transit hubs.","SECTION 1. SHORT TITLE.
'Urban Housing & Transit Grant Act'.

SEC. 2. TRANSIT-ORIENTED DEVELOPMENT (TOD) GRANTS.
(a) Establishment.- The Secretary of HUD shall award grants to municipalities to zone for and construct high-density housing within 0.5 miles of rail or Bus Rapid Transit stations.
(b) Condition.- To receive funds, municipalities must eliminate detached single-family zoning within the designated TOD zones.

SEC. 3. AFFORDABILITY REQUIREMENTS.
(a) Set-Aside.- Projects funded under this Act must reserve at least 20% of units for households earning below 60% of the Area Median Income (AMI).
(b) Perpetual Affordability.- Affordability restrictions must remain in place for at least 50 years.

SEC. 4. FUNDING.
Appropriates $20,000,000,000 annually for fiscal years 2026-2030.","0.5","0.6","0.2","0.2","0.1"
